terminologyId,negated,value
198907,0,"<<160268005 | No family history: Allergy (situation) |"
198907,0,"<<702814002 | Allergy clinic (environment) |"
198907,0,"<<709078005 | Allergen product (product) |"
198907,0,"<<716186003 | No known allergy (situation) |"
198907,0,"<<165007007 | Allergy testing done (situation) |"
198907,0,"<<161611007 | History of non-drug allergy (situation) |"
198907,0,"<<762616007 | History of food allergy (situation) |"
198907,0,"<<165008002 | Allergy testing not done (situation) |"
198907,0,"<<170841002 | Allergy treatment changed (situation) |"
198907,0,"<<12481000132103 | History of biological substance allergy (situation) |"
198907,0,"<<428448003 | History of atopy (situation) |"
198907,0,"<<735933002 | History of allergy to drug (situation) |"
198907,0,"<<309913004 | Clinical allergy department (environment) |"
198907,0,"<<32193000 | Free-standing immunology clinic (environment) |"
198907,0,"<<360957003 | Hospital-based outpatient allergy clinic (environment) |"
198907,0,"<<73239008 | Nogier auricular allergy (body structure) |"
198907,0,"<<722446000 | Allergy record (record artifact) |"
198907,0,"<<21943002 | Clinical immunology and allergy specialist (occupation) |"
900,0,"<< 396232000 |Inguinal hernia (disorder)|"
TMP-v8dtkk,0,<284009009
TMP-remqbo,0,<442083009
TMP-50zbhk,0,<272394005
TMP-ht17kd,0,<49755003
TMP-730obt,0,<434711009
TMP-2yb5vs,0,<105590001
TMP-8cqscb,0,<71388002
TMP-f2s0o6,0,<129264002
TMP-zkjl47,0,<<32712000
23646867,0,"<< 49062001 | Device (physical object) |"
23646867,1,"<< 705178002 | Physical therapy device (physical object) |"
TMP-emlgjg,0,"<< 405944004"
391000210104,0,"<<264395009 | Microorganism (organism) |"
TMP-evp7dh,0,"<< 429040005 |Ulcer (disorder)|"
TMP-ezyhzr,0,"<< 95345008"
TMP-xq6xfn,0,"<< 71388002"
TMP-49ff8r,0,"<<71388002 |Procedure (procedure)|"
TMP-uq5m51,0,"71388002 |Procedure (procedure)|"
TMP-tzjhah,0,<71388002
TMP-91v3nj,0,"<  404684003 |Clinical finding|"
TMP-w9fpbj,0,"<< 404684003 |Clinical finding|"
TMP-nwujn9,0,"<<95345008 |Ulcer of foot (disorder)|"
TMP-aoiaao,0,"<<301021005 |Ulcer of toe (disorder)|"
TMP-ftynwd,0,"<<95345008 |Ulcer of foot (disorder)|"
TMP-7w9h41,0,"<<95345008 |Ulcer of foot (disorder)|"
TMP-5bmk30,0,"<<64572001 | Disease (disorder) |"
TMP-vw6bvj,0,<71388002
TMP-bjnwn8,0,<53527002
TMP-37v6gr,0,"<<444677008 |Report type|"
TMP-s528r7,0,"<< 252741004"
TMP-vge4k4,0,"<<  73211009 |Diabetes mellitus|"
TMP-wu9ks6,0,">  40541001 |Acute pulmonary edema|"
TMP-kfxmdg,0,<<105590001
TMP-ks1yjq,0,<<272673000
TMP-1ypokc,0,<<284548004
TMP-sq8wjo,0,<<368208006
TMP-ndytm6,0,<<410607006
TMP-usjrea,0,<<405944004
8271000003100,0,<<118817003
8271000003100,0,<<706389006
391000210104,0,"<<264395009 | Microorganism (organism) |"
1,0,<<38341003
FDB1,0,<<38341003
FDB2,0,"<<37372002, >>85539001, >>8765009, >>430349003"
FDB3,0,"<<37372002;minus<<85539001;minus<<8765009; minus<<430349003"
TMP-alto4s,0,"<< 429040005 |Ulcer (disorder)|"
TMP-alto4s,0,"<< 416462003 |Wound (disorder)|"
TMP-alto4s,1,"<< 416462003 |Wound (disorder)|: 363698007 |Finding site| = << 38866009 |Body part structure (body structure)|"
TMP-alto4s,1,"<< 429040005 |Ulcer (disorder)|: 363698007 |Finding site| = << 38866009 |Body part structure (body structure)|"
TMP-alto4s,1,"<<40845000 | Gastrointestinal ulcer (disorder) |"
TMP-alto4s,1,"<2622007 | Infected ulcer of skin (disorder) |"
TMP-alto4s,1,"<2622007 | Infected ulcer of skin (disorder) |"
TMP-alto4s,1,"<399912005 | Pressure ulcer (disorder) |"
TMP-alto4s,1,"<262526004 | Wound of skin (disorder) |"
TMP-alto4s,1,"<<82988003 | Open wound of trachea with complication (disorder) |"
TMP-vbjowr,0,"<<394658006 | Clinical specialty (qualifier value) |"
TMP-swtaub,0,"<<14669001 | Acute renal failure syndrome (disorder) |"
TMP-swtaub,0,"<<609482001 | Induced termination of pregnancy complicated by renal tubular necrosis (disorder) |"
TMP-swtaub,0,"<<236426006 | Postoperative acute tubular necrosis (disorder) |"
TMP-swtaub,0,"<<236427002 | Post-traumatic acute tubular necrosis (disorder) |"
TMP-swtaub,0,"<<57469000 | Miscarriage with acute renal failure (disorder) |"
TMP-swtaub,0,"<<200118004 | Post-delivery acute renal failure with postnatal problem (disorder) |"
TMP-swtaub,0,"<<129561000119108 | Pre-renal acute kidney injury (disorder) |"
TMP-swtaub,1,"<<236432001 | Pulmonary renal syndrome (disorder) |"
TMP-swtaub,0,"<<236574008 | Acute rejection of renal transplant (disorder) |"
TMP-swtaub,1,"<<236573002 | Very mild acute rejection of renal transplant (disorder) |"
TMP-swtaub,0,"<<723189000 | Acute renal insufficiency (disorder) |"
TMP-swtaub,0,"<<716864001 | Hemorrhagic fever with renal syndrome (disorder) |"
TMP-swtaub,0,"<<14669001 | Acute renal failure syndrome (disorder) |"
TMP-swtaub,0,"<<609482001 | Induced termination of pregnancy complicated by renal tubular necrosis (disorder) |"
TMP-swtaub,0,"<<236426006 | Postoperative acute tubular necrosis (disorder) |"
TMP-swtaub,0,"<<236427002 | Post-traumatic acute tubular necrosis (disorder) |"
TMP-swtaub,0,"<<57469000 | Miscarriage with acute renal failure (disorder) |"
TMP-swtaub,0,"<<200118004 | Post-delivery acute renal failure with postnatal problem (disorder) |"
TMP-swtaub,0,"<<129561000119108 | Pre-renal acute kidney injury (disorder) |"
TMP-swtaub,1,"<<236432001 | Pulmonary renal syndrome (disorder) |"
TMP-swtaub,0,"<<236574008 | Acute rejection of renal transplant (disorder) |"
TMP-swtaub,1,"<<236573002 | Very mild acute rejection of renal transplant (disorder) |"
TMP-swtaub,0,"<<723189000 | Acute renal insufficiency (disorder) |"
TMP-swtaub,0,"<<716864001 | Hemorrhagic fever with renal syndrome (disorder) |"
TMP-qoy8i7,0,"<<14669001 | Acute renal failure syndrome (disorder) |"
TMP-qoy8i7,0,"<<609482001 | Induced termination of pregnancy complicated by renal tubular necrosis (disorder) |"
TMP-qoy8i7,0,"<<236426006 | Postoperative acute tubular necrosis (disorder) |"
TMP-qoy8i7,0,"<<236427002 | Post-traumatic acute tubular necrosis (disorder) |"
TMP-qoy8i7,0,"<<57469000 | Miscarriage with acute renal failure (disorder) |"
TMP-qoy8i7,0,"<<200118004 | Post-delivery acute renal failure with postnatal problem (disorder) |"
TMP-qoy8i7,0,"<<129561000119108 | Pre-renal acute kidney injury (disorder) |"
TMP-qoy8i7,0,"<<236574008 | Acute rejection of renal transplant (disorder) |"
TMP-qoy8i7,0,"<<723189000 | Acute renal insufficiency (disorder) |"
TMP-qoy8i7,0,"<<716864001 | Hemorrhagic fever with renal syndrome (disorder) |"
TMP-qoy8i7,1,"<<236432001 | Pulmonary renal syndrome (disorder) |"
TMP-qoy8i7,1,"<<236573002 | Very mild acute rejection of renal transplant (disorder) |"
TMP-w7d69m,0,"<272123002 | Frequencies (qualifier value) |"
TMP-shvzzo,0,"<<271737000 | Anemia (disorder) |"
TMP-shvzzo,1,"<420543008 | Anemia associated with acquired immunodeficiency syndrome (disorder) |"
TMP-coky1n,0,"<<441677009|Imaging of lung|"
TMP-coky1n,1,"<258174001|Imaging guidance procedure|"
TMP-coky1n,0,"16559261000119101 | Fine needle aspiration biopsy of pseudocyst of pancreas using computed tomography guidance (procedure) |"
TMP-8gq0u1,0,"< 298306002 | Finding of standing balance (finding) |"
TMP-84x2wv,0,"<232854009 | Pulmonary valve operation (procedure) |: 405813007 |Procedure site - Direct (attribute)| = 39057004 |Pulmonary valve structure (body structure)|, 
              260686004 |Method (attribute)| = 257903006 |Repair - action (qualifier value)|"
L_0002,0,"< 410720000 | Pain by sensation quality (finding) |"
L_0003,0,"< 410720000"
TMP-cn7el2,0,"< 19829001 |disorder of lung| MINUS < 301867009 |edema of trunk|"
TMP-31mrlm,0,"< 410720000 | Pain by sensation quality (finding) | : [0..0] 363698007 |Finding site (attribute)| =*"
TMP-31mrlm,1,"299375006 OR 301424008 OR 164426001 OR 225944008 OR 275895008 OR 37226004"
TMP-ugvvuo,0,"<366110009 |Finding of form of nose (finding)| MINUS (162562004 |Concerned about shape of nose (finding)| OR << 366111008 |Finding of form of bridge of nose (finding)| OR 366113006 |Finding of form of nostril (finding)| OR 366112001 |Finding of form of tip of nose (finding)| OR 249338002 |Stenosis of nostrils (finding)|)"
TMP-yuigq1,0,"<<71388002 |Procedure (procedure)|:[1..*]*=<<106181007 |Immunologic substance (substance)|,
[1..*]*=39937001 <<|Skin structure (body structure)|"
TMP-xuekuv,0,"<<71388002 |Procedure (procedure)|:[1..*]*=<<106181007 |Immunologic substance (substance)|,
[1..*]*=<<398827000 |Vaccine (substance)|"
TMP-uhvxnu,0,"<<71388002 |Procedure (procedure)|:[1..*]*=<<116003000 |Structure of immune system (body structure)|,
[0..0]*=<<360029007 |Nonsurgical biopsy - action (qualifier value)|,
[0..0]*=<<129284003 |Surgical action (qualifier value)|,
[0..0]*=<<89457008 |Radioactive isotope (substance)|"
TMP-oexphe,0,"<< 272379006 | Event (event) |"
TMP-bny6ae,0,"<<123038009 | Specimen (specimen) |"
TMP-vor4ly,0,"<<123038009 | Specimen (specimen) |"
TMP-3w82i3,0,"<< 195967001 |Asthma (disorder)|"
TMP-x9a8q9,0,"<<12738006 | Brain structure (body structure) |"
500201000057102,0,"<63371000052103 | Address type (qualifier value) |"
TMP-c4kzqo,0,"<<736542009 | Pharmaceutical dose form (dose form) |"
test,0,"<< 303315009 |Spider venom (substance)|"
TMP-e9c3a9,0,"<< 8230009 |Poultry (substance)|"
TMP-jmo38q,0,"< 410720000 | Pain by sensation quality (finding) |"
TMP-1hq2mi,0,<<45913009|laryngitis|
TMP-0ha6jv,0,"<< 198130006 |Female pelvic inflammatory disease (disorder)|
MINUS
<< 53277000 |Vulvovaginitis (disorder)|"
TMP-o3ihvj,0,<<45913009|laryngitis|
TMP-r47300,0,"<< 243796009 | Situation with explicit context (situation)|: 246090004 | Associated finding (attribute)| = <<386692008 | Menorrhagia (finding)|"
123456768,0,"( << 198130006 |Female pelvic inflammatory disease (disorder)| MINUS << 53277000 |Vulvovaginitis (disorder)| )  OR 279055000|Obstetric pain|"
1112234,0,<<36598100
TMP-c95llx,0,"<<237836003 | Short stature disorder (disorder) |"
TMP-p27e1r,0,"< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *"
TMP-9fut60,0,"< 301187008 |Finding of appearance of nose (finding)|"
TMP-fn29yg,0,"<410720000: [0..0] 363698007 = *"
TMP-obfttx,0,<301187008
12345001,0,"<<387293003 | Anthralin (substance)|"
12345001,0,"<<406473004 |  Contact allergen (substance)|"
TMP-keizks,0,<<440545006
TMP-aaf93f,0,"<<12738006 | Brain structure (body structure) |"
TMP-eqb0tx,0,"<< 272379006"
TMP-1mtxzm,0,<<113257007
TMP-r9y2l9,0,"<  223366009 |Healthcare professional (occupation)|"
TMP-ti5j43,0,"<  43741000 |Site of care (environment)|
OR <<  224884006 |Location within hospital premises (environment)|
OR <<  441480003 |Primary care department (environment)|
OR <<  440654001 |Inpatient environment (environment)|
OR <<  440655000 |Outpatient environment (environment)|
OR <<  272497004 |Residential environment (environment)|"
TMP-x8ncf4,0,"<  129843006 |Health management finding (finding)|"
TMP-s00xcv,0,"<< 409526008 | Personal protective equipment (physical object) |
OR << 6919005 | Protective clothing material, device (physical object) |
OR << 706724001 | Face shield (physical object) |
OR << 261382003 | Mask (physical object) |
OR << 52291003 | Glove, device (physical object) |
OR << 15922004 | Gown, device (physical object) |
OR << 706154004 | Shoe cover (physical object) |
OR << 465982004 | Surgical hood (physical object) |"
TMP-bx98rh,0,"<  277973009 |Respiratory equipment (physical object)|  
  OR <  336589003 |Oxygen equipment (physical object)|  
  OR <  334943003 |Respiratory appliances (physical object)|  
  OR <  304077006 |Respiratory system device (physical object)|  
  OR <  706167001 |Anesthesia and respiratory device (physical object)|"
TMP-6y0huk,0,"<  429019009 |Finding related to biological sex (finding)|  
  MINUS <<  302081005 |Finding of sex of baby (finding)|"
TMP-zvkjvs,0,"<  365873007 |Gender finding (finding)|"
TMP-d2xbpc,0,"<  372148003 |Ethnic group (ethnic group)|"
TMP-939gyb,0,"<  415229000 |Racial group (racial group)|"
TMP-u7intn,0,"<  14679004 |Occupation (occupation)|"
TMP-exa3hk,0,"<  223496003 |Geographical and/or political region of the world (geographic location)|
  OR <  365457007 |Foreign travel history finding (finding)|
  OR <  420008001 |Travel (event)|"
TMP-cj63mn,0,"<  272497004 |Residential environment (environment)|"
TMP-udl36l,0,"<  444148008 |Person in family of subject (person)|"
TMP-9adyjd,0,"<  365481000 |Finding of household composition (finding)|"
TMP-ek29mc,0,"<  365483002 |Finding related to care and support circumstances and networks (finding)|"
TMP-zzbcuh,0,<<49601007
TMP-t5aa70,0,"<<85562004 | Hand structure (body structure) |"
TMP-kykvu3,0,"<<386725007 OR <<75367002 OR <<364075005 OR <<431314004 OR <<86290005 OR << 442476006 OR << 442349007 OR <<8499008 OR <<103228002 OR << 271626009 OR << 6942003 OR <<405161002  OR <<440398005 OR <<248592006 OR <<263731006 OR <<248598005 OR <<248565000 OR << 248582003 OR <<364533002 OR <<247433003 OR <<248750004 OR <<226379006 OR << 709017009 OR <<413384008"
TMP-pqqd1o,0,"<< 20262006 OR <<77427003 OR <<288848001 OR <<371632003 OR <<193894004 OR <<443371007 OR <<126664009 OR <<442646005 OR <<419045004 OR <<274710003 OR <<91175000 OR <<271823003 OR <<288849009 OR << 58840004 OR << 9763007 OR << 386661006 OR << 75252003 OR << 3424008 OR <<70944005 OR <<67750007"
TMP-ddplt4,0,"<< 138389411000119105 OR 
<< 870590002 OR 
<< 870589006 OR 
<< 373895009 OR 
<< 67782005 OR 
<< 674814021000119106 OR 
<< 64779008 OR 
<< 119731000146105 OR 
<< 62914000 OR 
<< 1119304009 OR 
<< 119741000146102 OR 
<< 710027002 OR 
<< 419099009 OR 
<< 128053003 OR 
<< 34095006 OR 
<< 67406007 OR 
<< 3006004 OR 
<< 119981000146107 OR 
<< 1240561000000108 OR 
<< 119751000146104 OR 
<< 25374005 OR 
<< 56265001 OR 
<< 80394007 OR 
<< 389086002 OR 
<< 70944005 OR 
<< 1240541000000107 OR 
<< 90708001 OR 
<< 880529761000119102 OR 
<< 866151004 OR 
<< 59455009 OR 
<< 57653000 OR 
<< 1240531000000103 OR 
<< 1240521000000100 OR 
<< 183676005 OR 
<< 882784691000119100 OR 
<< 1119303003 OR 
<< 870591003 OR 
<< 302846007 OR 
<< 308906005 OR 
<< 91302008 OR 
<< 870588003 OR 
<< 76571007 OR 
<< 415623008 OR 
<< 238149007 OR 
<< 866152006 OR 
<< 429340002 OR 
<< 75570004 OR 
<< 1017214008"
TMP-tdl0wg,0,"<<367336001 OR <<788751009 OR <<234336002 OR <<86553008 OR <<76334006 OR <<108290001 OR <<312235007 OR <<265764009 OR <<313039003"
TMP-39jbld,0,"<<444077007 OR <<76978006 OR <<30662005 OR <<414464004 OR <<122435008 OR <<9718006 OR <<122433001 OR <<118147004 OR <<88667002 OR << 60170009 OR << 61911006 OR << 871555000 OR 
<< 871559006 OR << 871556004 OR << 871557008 OR << 871558003 OR << 871560001 OR << 1240461000000109 OR << 1240471000000102"
TMP-5bcx6f,0,"<<840535000 OR <<840536004 OR <<840533007 OR << 870361009 OR << 870362002 OR << 1240411000000107 OR <<1119343008 OR << 1155866009"
TMP-vhxgf8,0,"<<1157196000  OR <<1144997007 OR <<1157197009 OR <<1157108008 OR <<1144998002 OR << 1162646009 OR << 1156257007 OR << 1157107003 OR <<840534001 OR <<1119350007 OR << 1162645008  OR <<409524006 OR <<422181004 OR <<449399005 OR <<386242000 OR <<225368008 OR <<409529001 OR <<409686004 OR <<449390009 OR <<122467006 OR <<77248004 OR <<370832005 OR <<361235007 OR <<170499009 OR <<170500000 OR <<40174006 OR <<225995005 OR <<275827007 OR <<38883000 OR <<29537000 OR <<736762004 OR <<409525007 OR <<410410006 OR <<409522005 OR <<409684001 OR <<409583003 OR <<243791004"
TMP-jx5fdq,0,"<<698608004 OR <<385820004 OR << 736017006 OR << 223426009 OR 
<< 868263005"
TMP-imcxaj,0,"<<183452005 OR <<305376003 OR <<305351004 OR <<305360007 OR <<32485007 OR <<417005 OR << 107724000 OR << 397821002 OR << 710112000 OR << 429202003"
TMP-swq8u1,0,"<<40617009 OR <<233573008 OR <<447996002 OR <<243141005 OR <<428311008 OR <<371908008 OR <<371907003 OR <<11140008 OR << 229301009 OR << 431182000 OR << 697984004 OR << 829831000000100 OR <<1156748002 OR <<1156747007"
TMP-k8c44f,0,"<< 718447001 OR <<79031000119101 OR <<931000119107 OR <<444932008 OR <<763326004 OR <<419991009 OR <<405496006 OR <<22803001 OR <<718085007 OR <<128258000 OR << 371825009 OR << 371820004"
TMP-a7eonx,0,"<< 21522001 OR << 84387000 OR << 131148009 OR << 29857009 OR << 43724002 OR << 9826008 OR << 49727002 OR << 62315008 OR << 3006004 OR << 267036007 OR << 271807003 OR << 84229001 OR << 103001002 OR << 386661006 OR << 25064002 OR << 66857006 OR << 248567008 OR << 57676002 OR << 79890006 OR << 44169009 OR << 36955009 OR << 30746006 OR << 367391008 OR << 68962001 OR << 68235000 OR << 64531003 OR << 422587007 OR << 162397003 OR << 38880002 OR << 91175000 OR << 46742003 OR << 282145008 OR << 422400008 OR << 56018004 OR << 3415004 OR << 82272006 OR <<• 23924001 OR << 44077006 OR << 26544005"
TMP-wsbyub,0,"<<260373001 OR <<260415000 OR <<419984006 OR <<125154007 OR << 895231008 OR << 1240581000000104 OR << 1240591000000102 OR << 897035006 OR << 897034005"
TMP-c9a4a7,0,"<<410605003 OR <<410592001 OR <<415684004"
TMP-nbzyfi,0,"<  313333008 |Sample obtained (situation)|
OR <  168123008 |Sample sent for examination (situation)|"
672411000189107,0,"<<272123002 | Frequencies (qualifier value) |"
672411000189107,0,"<<419492006 | Additional dosage instructions (qualifier value) |"
672411000189107,0,"<<284009009 |Route of administration value (qualifier value)|"
672411000189107,0,"<<272106006 | Temporal periods of day (qualifier value) |"
672411000189107,0,"<<307157008 | Temporal periods relating to activities (qualifier value) |"
672411000189107,0,"<<420247005 | Dosing instruction imperative (qualifier value) |"
672411000189107,0,"<<408102007 | Unit dose (qualifier value) |"
672411000189107,0,"<<736542009 | Pharmaceutical dose form (dose form) |"
672411000189107,0,"<<732935002 | Unit of presentation (unit of presentation) |"
TMP-ti23y3,0,"< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *"
TMP-3gfkk6,0,"<<410594000 OR 410593006"
TMP-n04bmv,0,"<< 734427005 OR << 168137004 OR <<697989009 OR <<119297000 OR <<258607008 OR <<258606004 OR <<258500001 OR <<258411007 OR <<258412000 OR <<418564007 OR << 119342007 OR << 119364003 OR <<122610009 OR <<445447003 OR <<119334006 OR <<119339001 OR << 445297001 OR <<472901003 OR <<258529004 OR <<122877000 OR <<309164002 OR <<122575003 OR << 871810001 OR << 461911000124106"
TMP-ly9x72,0,"161527007 |History of asthma (situation)| OR 160377001 |Family history: Asthma (situation)|"
TMP-s9wujy,0,"<<198130006 |Female pelvic inflammatory disease (disorder)|"
TMP-y866k4,0,"<  365581002 |Finding of marital or partnership status (finding)|"
